A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-255.7708838,565.0212324,-3.121510781,-1.191234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.343105077,-0.78163857,0.390444855,0.149016778
-254.5796492,568.1427431,-3.021510781,-1.151234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.34150709,-0.785956803,0.377936654,0.144013002
-253.4284147,571.1642539,-2.921510781,-1.111234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.339962761,-0.790136698,0.365428452,0.139009225
-252.3171801,574.0857647,-2.821510781,-1.071234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.33847209,-0.794178255,0.352920251,0.134005449
-251.2459456,576.9072755,-2.721510781,-1.031234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.337035077,-0.798081474,0.34041205,0.129001673
-250.214711,579.6287863,-2.621510781,-0.991234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.335651722,-0.801846355,0.327903848,0.123997897
-249.2234764,582.250297,-2.521510781,-0.951234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.334322026,-0.805472898,0.315395647,0.118994121
-248.2722419,584.7718078,-2.421510781,-0.911234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.333045988,-0.808961104,0.302887445,0.113990344
-247.3610073,587.1933186,-2.321510781,-0.871234555,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.331823608,-0.812310971,0.290379244,0.108986568
-246.4897728,589.5148294,-2.350068302,-0.984443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.330654886,-0.815522501,0.293951276,0.123148367
-245.5053293,591.8648977,-2.250068302,-0.944443444,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.3293343,-0.818773536,0.281443075,0.118144591
